term,type,target,variation
marruecos,country,immigrants,europe
guinea,country,immigrants,europe
argelia,country,immigrants,europe
mali,country,immigrants,europe
costa de marfil,country,immigrants,europe
senegal,country,immigrants,europe
tunez,country,immigrants,europe
gibraltar,country,immigrants,europe
africa,country,immigrants,europe
marroqui,demonym,immigrants,europe
marroquies,demonym,immigrants,europe
guineano,demonym,immigrants,europe
guineanos,demonym,immigrants,europe
guineana,demonym,immigrants,europe
guineanas,demonym,immigrants,europe
argelino,demonym,immigrants,europe
argelina,demonym,immigrants,europe
argelinos,demonym,immigrants,europe
argelinas,demonym,immigrants,europe
maliense,demonym,immigrants,europe
malienses,demonym,immigrants,europe
malies,demonym,immigrants,europe
marfileño,demonym,immigrants,europe
marfileña,demonym,immigrants,europe
marfileños,demonym,immigrants,europe
marfileñas,demonym,immigrants,europe
senegales,demonym,immigrants,europe
senegalesa,demonym,immigrants,europe
senegaleses,demonym,immigrants,europe
senegalesas,demonym,immigrants,europe
tunecino,demonym,immigrants,europe
tunecina,demonym,immigrants,europe
tunecinos,demonym,immigrants,europe
tunecinas,demonym,immigrants,europe
gibraltareño,demonym,immigrants,europe
gibraltareña,demonym,immigrants,europe
gibraltareños,demonym,immigrants,europe
gibraltareñas,demonym,immigrants,europe
africano,demonym,immigrants,europe
africana,demonym,immigrants,europe
africanos,demonym,immigrants,europe
africanas,demonym,immigrants,europe
subsahariano,nickname,immigrants,europe
subsahariana,nickname,immigrants,europe
subsaharianos,nickname,immigrants,europe
subsaharianas,nickname,immigrants,europe
sahariano,nickname,immigrants,europe
sahariana,nickname,immigrants,europe
saharianos,nickname,immigrants,europe
saharianas,nickname,immigrants,europe
latino,demonym,immigrants,europe
latina,demonym,immigrants,europe
latinos,demonym,immigrants,europe
latinas,demonym,immigrants,europe
latinoamericano,demonym,immigrants,europe
latinoamericana,demonym,immigrants,europe
hispanoamericano,demonym,immigrants,europe
hispanoamericana,demonym,immigrants,europe
musulman,demonym,immigrants,europe
musulmana,religion,immigrants,europe
musulmanes,religion,immigrants,europe
musulmanas,religion,immigrants,europe
moro,nickname,immigrants,europe
mora,nickname,immigrants,europe
moros,nickname,immigrants,europe
moras,nickname,immigrants,europe
sudaca,derogatory,immigrants,europe
sudaka,derogatory,immigrants,europe
sudoca,derogatory,immigrants,europe
sudoka,derogatory,immigrants,europe
arabe,nickname,immigrants,europe
arabes,nickname,immigrants,europe